EQN_NO,LIFEFORM,SPP_CODE,SCI_NAME,COMM_NAME,BIO_COMP,GEO_AREA,SER_STAG,TAX_LIFE,PA1_CODE,PA1_TEXT,PA1_MIN,PA1_MAX,PA1_UNIT,PA2_CODE,PA2_TEXT,PA2_MIN,PA2_MAX,PA2_UNIT,PA3_CODE,PA3_TEXT,PA3_MIN,PA3_MAX,PA3_UNIT,DEP_VAR,DPV_MIN,DPV_MAX,DPV_UNIT,CF1,CF2,CF3,CF4,EQUATION
1,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BFT,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",1.800,162.000,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,4.061600000,1.700900000,,,"ln(BFT) =  4.0616 + 1.7009 * ln(DBH)"
2,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BBL,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",1.800,162.000,cm,,"",,,,,"",,,,"Live branch biomass",,,g,3.213700000,2.138200000,,,"ln(BBL) =  3.2137 + 2.1382 * ln (DBH)"
3,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BBD,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",1.800,162.000,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,3.378800000,1.750300000,,,"ln(BBD) = 3.3788  + 1.7503 * ln (DBH)"
4,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",1.800,162.000,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.868200000,2.595100000,,,"ln(BSW) =  3.8682 + 2.5951 * ln(DBH)"
5,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",1.800,162.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.597500000,2.430000000,,,"ln(BSB) =  2.5975 + 2.4300 * ln (DBH)"
6,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BRL,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",2.300,135.000,cm,,"",,,,,"",,,,"Total root biomass (live)",,,g,2.211700000,2.692900000,,,"ln(BRT) =  2.2117 + 2.6929 * ln(DBH)"
7,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BFN,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",25.900,162.000,cm,,"",,,,,"",,,,"New foliage biomass",,,g,1.181300000,2.039000000,,,"ln(BFN) =  1.1813 + 2.039 * ln(DBH)"
8,T,"TSHE","Tsuga heterophylla","Western Hemlock",BFT,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",15.300,78.000,cm,,"",,,,,"",,,,"Totol foliage biomass",,,g,2.777800000,2.128000000,,,"ln(BFT) = 2.7778 + 2.128 * ln(DBH)"
9,T,"TSHE","Tsuga heterophylla","Western Hemlock",BBL,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",15.300,78.000,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.758800000,2.778000000,,,"ln(BBL) = 1.7588 + 2.778 * ln(DBH)"
10,T,"TSHE","Tsuga heterophylla","Western Hemlock",BBD,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",15.300,78.000,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,4.498800000,1.312000000,,,"ln(BBD) = 4.4988 + 1.312 * ln(DBH)"
11,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",15.300,78.000,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,4.735800000,2.257000000,,,"ln(BBD) = 4.7358 + 2.257 * ln(DBH)"
12,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",15.300,78.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.534800000,2.258000000,,,"ln(BSB) = 2.5348 + 2.258 * ln(DBH)"
13,T,"TSHE","Tsuga heterophylla","Western Hemlock",BFN,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",15.300,78.000,cm,,"",,,,,"",,,,"New foliage biomass",,,g,1.528800000,2.124000000,,,"ln(BFN) = 1.5288 + 2.124 * ln(DBH)"
14,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BFT,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",17.000,76.200,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,3.090900000,1.975600000,,,"ln(BFT) =  3.0909 + 1.9756 * ln(DBH)"
15,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BBL,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",17.000,76.200,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.649700000,2.604500000,,,"ln(BBL) =  1.6497 + 2.6045 * ln(DBH)"
16,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BBD,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",17.000,54.600,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,-3.037100000,3.284500000,,,"ln(BBD) = -3.0371 + 3.2845 * ln(DBH)"
17,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSW,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",17.000,76.200,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,2.091400000,2.930800000,,,"ln(BSW) =  2.0914 + 2.9308 * ln(DBH)"
18,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSB,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",17.000,76.200,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,1.320960000,2.765400000,,,"ln(BSB) = 1.32096 + 2.7654 * ln(DBH)"
19,T,"ABIES","Abies","Pooled Abies Species",BFT,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",8.700,111.000,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,3.441600000,1.927800000,,,"ln(BFT) =  3.4416 + 1.9278 * ln(DBH)"
20,T,"ABIES","Abies","Pooled Abies Species",BBL,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",8.700,111.000,cm,,"",,,,,"",,,,"Live branch biomass",,,g,2.079100000,2.558500000,,,"ln(BFT) =  2.0791 + 2.5585 * ln(DBH)"
21,T,"ABIES","Abies","Pooled Abies Species",BSW,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",8.700,111.000,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,3.168900000,2.682500000,,,"ln(BSW) =  3.1689 + 2.6825 * ln(DBH)"
22,T,"ABIES","Abies","Pooled Abies Species",BSB,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",8.700,111.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.716000000,2.879600000,,,"ln(BSB) =   0.716 + 2.8796 * ln(DBH)"
23,T,"ABAM","Abies amabilis","Pacific Silver Fir",BFT,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",11.700,90.400,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.359100000,2.192600000,,,"ln(BFT) =  2.3591 + 2.1926 * ln(DBH)"
24,T,"ABAM","Abies amabilis","Pacific Silver Fir",BBL,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",11.700,90.400,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.670800000,2.626100000,,,"ln(BBL) =  1.6708 + 2.6261 * ln(DBH)"
25,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSW,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",11.700,90.400,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,3.402100000,2.574400000,,,"ln(BSW) =  3.4021 + 2.5744 * ln(DBH)"
26,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSB,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",11.700,90.400,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.791160000,2.842100000,,,"ln(BSB) = 0.79116 + 2.8421 * ln(DBH)"
27,T,"ABPR","Abies procera","Noble Fir",BFT,W,M,T,DBH,"Diameter at breast height (at 1.37 m)",18.800,111.000,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.034960000,2.168300000,,,"ln(BFT) = 2.03496 + 2.1683 * ln(DBH)"
28,T,"ABPR","Abies procera","Noble Fir",BBL,W,M,T,DBH,"Diameter at breast height (at 1.37 m)",18.800,111.000,cm,,"",,,,,"",,,,"Live branch biomass",,,g,2.726100000,2.332400000,,,"ln(BBL) =  2.7261 + 2.3324 * ln(DBH)"
29,T,"ABPR","Abies procera","Noble Fir",BSW,W,M,T,DBH,"Diameter at breast height (at 1.37 m)",18.800,111.000,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,3.191960000,2.759200000,,,"ln(BSW) = 3.19196 + 2.7592 * ln(DBH)"
30,T,"ABPR","Abies procera","Noble Fir",BSB,W,M,T,DBH,"Diameter at breast height (at 1.37 m)",18.800,111.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.807800000,2.894300000,,,"ln(BSB) =  0.8078 + 2.8943 * ln(DBH)"
31,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BFT,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",7.600,35.300,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,3.142760000,1.617000000,,,"ln(BFT) = 3.14276 + 1.617 * ln (DBH)"
32,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BBL,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",7.600,35.300,cm,,"",,,,,"",,,,"Live branch biomass",,,g,2.671760000,2.430000000,,,"ln(BBL) = 2.67176 + 2.430 * ln (DBH)"
33,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BBD,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",7.600,35.300,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,4.791800000,1.092000000,,,"ln(BBD) = 4.7918 + 1.092 * ln (DBH)"
34,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BSW,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",7.600,35.300,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.414800000,2.723000000,,,"ln(BSW) = 3.4148 + 2.723 * ln (DBH)"
35,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BSB,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",7.600,35.300,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.333800000,2.574000000,,,"ln(BSB) = 2.3338 + 2.574 * ln (DBH)"
36,T,"ALRU","Alnus rubra","Red Alder",BST,C,Y,T,DBH,"Diameter at breast height (at 1.37 m)",,,cm,HT,"Height",,,cm,,"",,,,"Total stem biomass",,,g,20.000000000,1600.000000000,-0.500000000,,"BST = 20 + 1600*DBH^2*HT - 0.5*(DBH^2*HT)^2"
37,T,"ALRU","Alnus rubra","Red Alder",BAE,C,Y,T,DBH,"Diameter at breast height (at 1.37 m)",,,cm,HT,"Height",,,cm,,"",,,,"Total aboveground biomass (wood & bark)",,,g,20.000000000,2090.000000000,-1.500000000,,"BAE = 20 + 2090*DBH^2*HT - 1.5*(DBH^2*HT)^2"
38,T,"ALRU","Alnus rubra","Red Alder",BRL,C,Y,T,DBH,"Diameter at breast height (at 1.37 m)",,,cm,HT,"Height",,,cm,,"",,,,"Total root biomass (live)",,,g,100.000000000,480.000000000,-0.500000000,,"BRT = 100 + 480*DBH^2*HT -0.5*(DBH^2*HT)^2"
