EQN_NO,LIFEFORM,SPP_CODE,SCI_NAME,COMM_NAME,BIO_COMP,GEO_AREA,SER_STAG,DPV_O,DPV_OMIN,DPV_OMAX,DPV_OUNIT,IP1_TEXT,IP1_MIN,IP1_MAX,IP1_UNIT,IP2_TEXT,IP2_MIN,IP2_MAX,IP2_UNIT,IP3_TEXT,IP3_MIN,IP3_MAX,IP3_UNIT,ORG_EQFM,SMP_SIZE,R_SQUARE,MS_ERROR,SEE
1,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BFT,W,G,"Total foliage biomass",,,kg,"Stem dia. @ breast height",1.800,162.000,cm,"","",,,"",,,,"ln(BFT) = -2.8462 + 1.7009 * ln(DBH)",123,0.860,0.483000,0.695000
2,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BBL,W,G,"Live branch biomass",,,kg,"DBH",1.800,162.000,cm,"","",,,"",,,,"ln(BBL) = -3.6941 + 2.1382 * ln (DBH)",123,0.920,0.399000,0.632000
3,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BBD,W,G,"Dead branch biomass",,,kg,"DBH",1.800,162.000,cm,"","",,,"",,,,"ln(BBD) = -3.529  + 1.7503 * ln (DBH)",85,0.840,0.530000,0.728000
4,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSW,W,G,"Stem wood biomass",,,kg,"DBH",1.800,162.000,cm,"","",,,"",,,,"ln(BSW) = -3.0396 + 2.5951 * ln(DBH)",99,0.990,0.096000,0.310000
5,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BSB,W,G,"Stem bark biomass",,,kg,"DBH",1.800,162.000,cm,"","",,,"",,,,"ln(BSB) = -4.3103 + 2.4300 * ln (DBH)",99,0.990,0.104000,0.322000
6,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BRL,W,G,"Total root biomass (live)",,,kg,"DBH",2.300,135.000,cm,"","",,,"",,,,"ln(BRT) = -4.6961 + 2.6929 * ln(DBH)",26,0.960,0.127000,0.356000
7,T,"PSME","Pseudotsuga menziesii","Douglas Fir",BFN,W,O,"New foliage biomass",,,kg,"DBH",25.900,162.000,cm,"","",,,"",,,,"ln(BFN) = -5.7265 + 2.039 * ln(DBH)",29,0.930,0.323000,0.568000
8,T,"TSHE","Tsuga heterophylla","Western Hemlock",BFT,W,O,"Totol foliage biomass",,,kg,"DBH",15.300,78.000,cm,"","",,,"",,,,"ln(BFT) = -4.130 + 2.128 * ln(DBH)",18,0.960,0.189000,0.435000
9,T,"TSHE","Tsuga heterophylla","Western Hemlock",BBL,W,O,"Live branch biomass",,,kg,"DBH",15.300,78.000,cm,"","",,,"",,,,"ln(BBL) = -5.149 + 2.778 * ln(DBH)",18,0.980,0.177000,0.421000
10,T,"TSHE","Tsuga heterophylla","Western Hemlock",BBD,W,O,"Dead branch biomass",,,kg,"DBH",15.300,78.000,cm,"","",,,"",,,,"ln(BBD) = -2.409 + 1.312 * ln(DBH)",18,0.620,0.641000,0.801000
