collectid,onehrlen,tenhrlen,hundhrlen,thoushrlen,notes
1,1,2,4,10,
2,1,2,4,10,
3,1,2,4,10,
4,1,2,4,10,
5,1,2,4,10,
6,1,2,4,10,
7,1,2,4,10,
8,1,2,4,10,
9,1,2,4,10,
10,1,2,4,10,
11,1,2,4,10,
12,1,2,4,10,
13,1,2,4,10,
14,1,2,4,10,
15,1,2,4,10,
16,1,2,4,10,
17,1,2,4,10,
18,1,2,4,10,
19,1,2,4,10,
20,1,2,4,10,
21,1,2,4,10,
22,1,2,4,10,
23,1,2,4,10,
24,1,2,4,10,
25,1,2,4,10,
26,1,2,4,10,
27,1,2,4,10,
28,1,2,4,10,
29,1,2,4,10,
30,1,2,4,10,
31,1,2,4,10,
32,1,2,4,10,
33,1,2,4,10,
34,1,2,4,10,
35,1,2,4,10,
36,1,2,4,10,
37,1,2,4,10,
38,1,2,4,10,
39,1,2,4,10,
40,1,2,4,10,
41,1,2,4,10,
42,1,2,4,10,
43,1,2,4,10,
44,1,2,4,10,
45,1,2,4,10,
46,1,2,4,10,
47,1,2,4,10,
48,1,2,4,10,
49,1,2,4,10,
50,1,2,4,10,
51,1,2,4,10,
52,1,2,4,10,
53,1,2,4,10,
54,1,2,4,10,
55,1,2,4,10,
56,1,2,4,10,
57,1,2,4,10,
58,1,2,4,10,
59,1,2,4,10,
60,1,2,4,10,
61,1,2,4,10,
62,1,2,4,10,
63,1,2,4,10,
321,1,2,4,10,
323,1,2,4,10,
327,1,2,4,10,
331,1,2,4,10,
335,1,2,4,10,
336,1,2,4,10,
339,1,2,4,10,
342,1,2,4,10,
343,1,2,4,10,
344,1,2,4,10,
346,1,2,4,10,
351,1,2,4,10,
356,1,2,4,10,
360,1,2,4,10,
361,1,2,4,10,
363,1,2,4,10,
365,1,2,4,10,
367,1,2,4,10,
369,1,2,4,10,
371,1,2,4,10,
384,1,2,4,10,
386,1,2,4,10,
388,1,2,4,10,
390,1,2,4,10,
392,1,2,4,10,
393,1,2,4,10,
400,1,2,4,10,
401,1,2,4,10,
410,1,2,4,10,
411,1,2,4,10,
414,1,2,4,10,
415,1,2,4,10,
418,1,2,4,10,
419,1,2,4,10,
422,1,2,4,10,
423,1,2,4,10,
428,1,2,4,10,
429,1,2,4,10,
433,1,2,4,10,
438,1,2,4,10,
439,1,2,4,10,
450,1,2,4,10,
451,1,2,4,10,
454,1,2,4,10,
458,1,2,4,10,
459,1,2,4,10,
464,1,2,4,10,
465,1,2,4,10,
468,1,2,4,10,
469,1,2,4,10,
470,1,2,4,10,
471,1,2,4,10,
490,1,2,4,10,
492,1,2,4,10,
493,1,2,4,10,
496,1,2,4,10,
500,1,2,4,10,
501,1,2,4,10,
502,1,2,4,10,
503,1,2,4,10,
509,1,2,4,10,
522,1,2,4,10,
523,1,2,4,10,
526,1,2,4,10,
527,1,2,4,10,
534,1,2,4,10,
