transectid,onehr,tenhr,hundhr
1,46,8,2
2,87,10,1
3,16,6,0
4,29,4,0
5,75,6,4
6,36,5,2
7,222,14,5
8,53,7,5
9,53,7,5
10,70,14,3
11,17,10,6
12,31,14,4
13,49,32,17
14,40,7,8
15,37,7,5
16,61,11,7
17,39,5,6
18,62,7,5
19,73,7,5
20,35,6,3
21,35,6,3
22,26,13,11
23,40,9,5
24,62,10,12
25,6,1,1
26,10,9,8
27,10,6,8
28,26,14,12
29,53,13,6
30,17,6,9
31,86,5,5
32,74,3,6
33,143,11,7
34,45,11,8
35,105,12,9
36,39,10,10
37,145,6,3
38,57,16,11
39,37,16,3
40,39,7,0
41,45,9,1
42,38,6,3
43,76,5,2
44,45,8,1
45,34,3,0
46,3,0,3
47,23,5,2
48,16,7,1
49,4,2,5
50,25,3,5
51,14,7,4
52,42,10,11
53,36,6,5
54,25,12,2
55,3,5,2
56,21,5,4
57,11,8,1
58,25,3,1
59,55,7,1
60,62,20,4
61,29,5,8
62,139,38,3
63,31,15,10
64,91,27,3
65,12,6,1
66,12,10,3
67,42,6,3
68,27,5,6
69,32,6,8
70,52,3,0
71,36,0,0
72,39,7,1
73,50,14,6
74,39,1,1
75,46,4,9
76,38,7,11
77,39,2,1
78,85,9,0
79,55,8,8
80,58,5,6
81,115,29,17
82,34,5,2
83,21,12,10
84,48,16,7
85,15,4,5
86,21,13,4
87,36,7,0
88,41,11,8
89,18,1,1
90,16,5,1
91,24,6,4
92,5,3,3
93,20,4,4
94,24,1,3
95,30,2,5
96,5,0,3
97,9,6,5
98,80,9,0
99,27,1,0
100,64,6,3
101,113,32,6
102,20,9,2
103,24,10,2
104,15,8,3
105,23,11,5
106,54,6,5
107,39,4,7
108,34,17,6
109,64,9,3
110,30,12,5
111,40,7,2
112,128,9,6
113,84,23,4
114,69,37,9
115,34,13,10
116,77,19,10
117,19,4,3
118,34,24,1
119,15,1,1
120,35,7,4
121,9,12,8
122,81,7,14
123,90,8,6
124,39,38,7
125,36,13,8
126,34,14,5
127,48,12,2
128,40,5,0
129,44,5,1
130,37,5,1
131,49,13,2
132,57,19,14
133,36,9,3
134,32,4,1
135,41,13,4
136,55,14,4
137,46,6,0
138,46,6,2
139,31,11,8
140,37,23,9
141,67,21,10
142,18,12,10
143,44,4,4
144,47,10,1
145,75,20,9
146,77,35,10
147,44,7,6
148,41,5,2
149,61,8,2
150,33,14,0
151,38,13,4
152,50,8,5
153,48,11,4
154,46,9,8
155,40,9,5
156,22,3,1
157,33,12,6
158,107,9,4
159,48,9,5
160,64,5,0
