transectid,collectid,transectnum,azimuth,slope,notes
1,1,1,0,3,under huckleberry at 5m
2,1,2,120,21,
3,1,3,240,33,
4,2,1,0,54,
5,2,2,120,19,
6,2,3,240,26,
7,3,1,0,18,huckleberry at 10m pieces of broken rw top are on transect at 10m
8,3,2,120,18,
9,3,3,240,18,
10,4,1,0,4,
11,4,2,120,18,in skid
12,4,3,240,17,5-10m in skid
13,5,1,0,15,middle in skid
14,5,2,120,4,"in skid, all iris"
15,5,3,240,23,"end and middle in skid, end in iris"
16,6,1,0,17,end in skid
17,6,2,120,17,end in skid
18,6,3,240,10,
19,7,1,353,38,
20,7,2,120,19,through skid
21,7,3,240,26,edge of skid
22,8,1,0,24,
23,8,2,120,43,in skid
24,8,3,240,29,
25,9,1,0,36,
26,9,2,120,13,begining crosses skid
27,9,3,240,16,in skid
28,10,1,0,21,huckleberry at 10m
29,10,2,120,4,
30,10,3,240,18,
31,11,1,0,16,
32,11,2,120,12,
33,11,3,240,2,redwood foliage (branchlets) 2mm cutoff
