collectid,notes
212,
215,no reference trees
217,no crew listed
219,plot center @ small skid edge
220,plot center at intersection of two minor skids
222,"nutmeg off plot, rocky soil"
224,"center on skid edge, 1/3 no trees"
225,dead mid-sized tanoaks just off plot
226,plot center in draw
229,no crew on sheet
230,no crew on sheet
231,near skid
233,no crew on sheet
234,"plot overlaps with another experiment's plot, other tag numbers 2 digits only"
235,no ref trees or crew
322,"plot center in open/skid, huckleberry"
352,plot open in middle
357,"near skid intersection, borderline skip plot"
368,skip sprouts on gf for cbh (whole season)
370,"lot of skid road, few trees"
398,not counting gf sprouts for cbh
430,no reference trees on sheet
