stageid,site,treatment,burn,plotnum,clumpid,sapdbh
1,bob,ls,b,12,1,3.0
1,bob,ls,b,12,1,3.0
1,bob,ls,b,12,2,2.0
1,bob,ls,b,12,2,1.0
1,bob,ls,b,12,2,3.0
1,bob,ls,b,12,2,3.0
1,bob,ls,b,12,3,1.0
1,bob,ls,b,12,3,1.0
1,bob,ls,b,12,5,1.0
1,bob,ls,b,12,5,1.0
1,bob,ls,b,12,5,3.0
1,bob,ls,b,12,5,1.0
1,bob,ls,b,12,6,3.0
1,bob,ls,b,12,6,2.0
1,bob,ls,b,12,6,1.0
1,bob,ls,b,12,6,1.0
1,bob,ls,b,12,6,1.0
1,bob,ls,b,12,7,2.0
1,bob,ls,b,12,7,2.0
1,bob,ls,b,12,7,5.0
1,bob,ls,b,12,7,2.0
1,bob,ls,b,12,7,2.0
1,bob,ls,b,12,7,1.0
1,bob,ls,b,12,7,1.0
1,bob,ls,b,12,7,1.0
1,bob,ls,b,12,7,2.0
1,bob,ls,b,12,8,2.0
1,bob,ls,b,12,8,2.0
1,bob,ls,b,12,9,9.0
1,bob,ls,b,12,9,7.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,3.0
1,bob,ls,b,12,9,2.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,3.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,9,2.0
1,bob,ls,b,12,9,1.0
1,bob,ls,b,12,10,2.0
1,bob,ls,b,12,10,2.0
1,bob,ls,b,12,10,4.0
1,bob,ls,b,3,3,6.0
1,bob,ls,b,3,3,2.0
1,bob,ls,b,3,3,2.0
1,bob,ls,b,3,3,1.0
1,bob,ls,b,3,3,1.0
1,bob,ls,b,3,4,6.0
1,bob,ls,b,3,4,3.0
1,bob,ls,b,3,5,5.0
1,bob,ls,b,3,9,3.0
1,bob,ls,b,5,1,3.0
1,bob,ls,b,5,2,5.0
1,bob,ls,b,6,3,1.0
1,bob,ls,b,6,3,1.0
1,bob,ls,b,6,3,1.0
1,bob,ls,b,6,3,1.0
1,bob,ls,b,6,3,2.0
1,bob,ls,b,6,4,5.0
1,bob,ls,b,6,5,9.0
1,bob,ls,b,6,5,4.0
1,bob,ls,b,9,1,2.0
1,bob,ls,b,9,3,4.0
1,bob,ls,b,9,4,1.0
1,bob,ls,b,9,4,1.0
1,bob,ls,b,9,4,1.0
1,bob,ls,b,9,4,1.0
1,bob,ls,b,9,4,1.0
1,bob,ls,b,9,4,2.0
1,bob,ls,b,9,4,2.0
1,bob,ls,b,9,5,5.0
1,bob,ls,b,9,5,5.0
1,bob,ls,b,9,5,4.0
1,bob,ls,b,9,5,2.0
1,bob,ls,b,9,5,2.0
1,bob,ls,nb,1,1,3.0
1,bob,ls,nb,1,1,1.0
1,bob,ls,nb,1,1,2.0
1,bob,ls,nb,1,2,1.0
1,bob,ls,nb,1,4,1.0
1,bob,ls,nb,1,4,1.0
1,bob,ls,nb,1,4,1.0
1,bob,ls,nb,1,4,1.0
1,bob,ls,nb,1,6,1.0
1,bob,ls,nb,1,6,1.0
1,bob,ls,nb,1,6,1.0
1,bob,ls,nb,1,6,1.0
1,bob,ls,nb,1,7,5.0
1,bob,ls,nb,12,1,9.0
1,bob,ls,nb,12,1,6.0
1,bob,ls,nb,12,1,6.0
1,bob,ls,nb,12,1,3.0
1,bob,ls,nb,12,1,2.0
1,bob,ls,nb,12,1,3.0
1,bob,ls,nb,12,1,2.0
1,bob,ls,nb,12,2,2.0
1,bob,ls,nb,12,2,2.0
1,bob,ls,nb,12,2,4.0
1,bob,ls,nb,12,2,2.0
1,bob,ls,nb,12,2,2.0
1,bob,ls,nb,12,2,2.0
1,bob,ls,nb,12,2,2.0
1,bob,ls,nb,12,2,2.0
1,bob,ls,nb,12,2,3.0
1,bob,ls,nb,12,5,7.0
1,bob,ls,nb,12,5,5.0
1,bob,ls,nb,12,5,5.0
1,bob,ls,nb,12,5,3.0
1,bob,ls,nb,12,5,5.0
1,bob,ls,nb,12,5,7.0
1,bob,ls,nb,12,6,2.0
1,bob,ls,nb,12,6,4.0
1,bob,ls,nb,12,6,3.0
1,bob,ls,nb,12,6,3.0
1,bob,ls,nb,3,1,1.0
1,bob,ls,nb,3,1,1.0
1,bob,ls,nb,3,1,1.0
1,bob,ls,nb,3,1,1.0
1,bob,ls,nb,3,1,1.0
1,bob,ls,nb,3,1,1.0
1,bob,ls,nb,3,1,1.0
1,bob,ls,nb,3,1,4.0
1,bob,ls,nb,3,4,2.0
1,bob,ls,nb,3,4,2.0
1,bob,ls,nb,3,4,2.0
1,bob,ls,nb,3,5,5.0
1,bob,ls,nb,3,5,2.0
1,bob,ls,nb,3,8,2.0
1,bob,ls,nb,3,8,3.0
1,bob,ls,nb,3,8,2.0
1,bob,ls,nb,3,8,1.0
1,bob,ls,nb,3,8,1.0
1,bob,ls,nb,3,7,2.0
1,bob,ls,nb,6,1,1.0
1,bob,ls,nb,6,4,2.0
1,bob,ls,nb,6,5,2.0
1,bob,ls,nb,6,5,6.0
1,bob,ls,nb,6,5,5.0
1,bob,ls,nb,6,8,7.0
1,bob,ls,nb,6,7,2.0
1,bob,ls,nb,6,7,1.0
1,bob,ls,nb,9,1,8.0
1,bob,ls,nb,9,1,7.0
1,bob,ls,nb,9,1,9.0
1,bob,ls,nb,9,1,5.0
1,bob,ls,nb,9,1,4.0
1,bob,ls,nb,9,2,1.0
1,bob,ls,nb,9,3,4.0
1,bob,ls,nb,9,3,4.0
1,bob,ls,nb,9,3,3.0
1,bob,ls,nb,9,4,6.0
1,bob,ls,nb,9,4,5.0
1,bob,ls,nb,9,4,5.0
1,bob,ls,nb,9,4,6.0
1,bob,ls,nb,9,4,8.0
1,bob,ls,nb,9,4,3.0
1,bob,ls,nb,9,4,3.0
1,bob,ls,nb,9,4,5.0
1,bob,ls,nb,9,5,4.0
1,bob,ls,nb,9,5,4.0
1,bob,m,b,1,3,1.0
1,bob,m,b,1,3,1.0
1,bob,m,b,1,3,1.0
1,bob,m,b,1,3,1.0
1,bob,m,b,1,1,1.0
1,bob,m,b,1,1,1.0
1,bob,m,b,1,1,1.0
1,bob,m,b,1,2,9.0
1,bob,m,b,1,4,5.0
1,bob,m,b,1,4,5.0
1,bob,m,b,1,4,1.0
1,bob,m,b,1,4,1.0
1,bob,m,b,1,4,1.0
1,bob,m,b,1,4,5.0
1,bob,m,b,1,5,2.0
1,bob,m,b,11,2,1.0
1,bob,m,b,11,2,1.0
1,bob,m,b,11,2,1.0
1,bob,m,b,11,4,3.0
1,bob,m,b,11,4,2.0
1,bob,m,b,11,4,1.0
1,bob,m,b,11,4,6.0
1,bob,m,b,11,4,2.0
1,bob,m,b,11,5,4.0
1,bob,m,b,11,5,1.0
1,bob,m,b,11,7,9.0
1,bob,m,b,11,8,4.0
1,bob,m,b,11,8,4.0
1,bob,m,b,11,8,3.0
1,bob,m,b,11,8,2.0
1,bob,m,b,11,9,2.0
1,bob,m,b,11,9,2.0
1,bob,m,b,11,9,3.0
1,bob,m,b,11,9,5.0
1,bob,m,b,11,10,5.0
1,bob,m,b,11,10,6.0
1,bob,m,b,11,10,4.0
1,bob,m,b,11,10,3.0
1,bob,m,b,11,10,2.0
1,bob,m,b,11,10,1.0
1,bob,m,b,11,10,1.0
1,bob,m,b,11,10,1.0
1,bob,m,b,11,10,1.0
1,bob,m,b,4,1,1.0
1,bob,m,b,4,1,1.0
1,bob,m,b,4,1,1.0
1,bob,m,b,4,1,2.0
1,bob,m,b,4,2,4.0
