stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,diameter,decayclass,thoushrlen,notes
1,bob,ls,b,12,1,0,3,13.1,3,10,under huckleberry at 5m
1,bob,ls,b,12,2,120,21,8.7,3,10,
1,bob,ls,b,3,2,120,19,9.8,3,10,
1,bob,ls,b,3,2,120,19,16.2,5,10,
1,bob,ls,b,5,2,120,18,9.0,3,10,
1,bob,ls,b,5,2,120,18,13.6,4,10,
1,bob,ls,b,5,2,120,18,12.1,3,10,
1,bob,ls,b,5,2,120,18,9.5,4,10,
1,bob,ls,b,5,2,120,18,14.6,5,10,
1,bob,ls,b,6,1,0,4,11.7,3,10,
1,bob,ls,b,6,1,0,4,16.0,3,10,
1,bob,ls,b,6,2,120,18,7.7,5,10,in skid
1,bob,ls,b,6,2,120,18,18.0,3,10,in skid
1,bob,ls,b,6,2,120,18,8.3,3,10,in skid
1,bob,ls,b,6,3,240,17,22.4,3,10,5-10m in skid
1,bob,ls,b,6,3,240,17,9.0,3,10,5-10m in skid
1,bob,ls,b,6,3,240,17,19.0,3,10,5-10m in skid
1,bob,ls,b,9,1,0,15,10.5,4,10,middle in skid
1,bob,ls,b,9,1,0,15,15.0,3,10,middle in skid
1,bob,ls,b,9,1,0,15,54.0,4,10,middle in skid
1,bob,ls,b,9,3,240,23,9.5,3,10,"end and middle in skid, end in iris"
1,bob,ls,b,9,3,240,23,7.7,3,10,"end and middle in skid, end in iris"
1,bob,ls,nb,1,1,0,17,7.9,4,10,end in skid
1,bob,ls,nb,1,1,0,17,11.6,3,10,end in skid
1,bob,ls,nb,1,1,0,17,16.4,4,10,end in skid
1,bob,ls,nb,1,2,120,17,18.5,5,10,end in skid
1,bob,ls,nb,12,2,120,19,7.8,3,10,through skid
1,bob,ls,nb,12,3,240,26,13.6,3,10,edge of skid
1,bob,ls,nb,3,3,240,29,15.0,3,10,
1,bob,ls,nb,3,3,240,29,10.5,3,10,
1,bob,ls,nb,3,3,240,29,11.0,3,10,
1,bob,ls,nb,6,1,0,36,8.7,4,10,
1,bob,ls,nb,6,2,120,13,16.9,4,10,begining crosses skid
1,bob,ls,nb,6,2,120,13,9.9,4,10,begining crosses skid
1,bob,ls,nb,6,3,240,16,26.0,5,10,in skid
1,bob,ls,nb,9,1,0,21,25.2,5,10,huckleberry at 10m
1,bob,ls,nb,9,2,120,4,9.5,4,10,
1,bob,ls,nb,9,2,120,4,9.8,3,10,
1,bob,ls,nb,9,3,240,18,11.3,3,10,
1,bob,ls,nb,9,3,240,18,12.0,3,10,
1,bob,ls,nb,9,3,240,18,25.0,5,10,
1,bob,ls,nb,9,3,240,18,20.0,3,10,
1,bob,ls,nb,9,3,240,18,26.0,3,10,
1,bob,m,b,1,1,0,16,19.5,3,10,
1,bob,m,b,1,2,120,12,20.0,5,10,
1,bob,m,b,1,3,240,2,11.0,3,10,redwood foliage (branchlets) 2mm cutoff
1,bob,m,b,1,3,240,2,10.0,3,10,redwood foliage (branchlets) 2mm cutoff
1,bob,m,b,11,3,240,8,13.6,4,10,
1,bob,m,b,11,3,240,8,21.8,3,10,
1,bob,m,b,4,1,0,43,12.0,4,10,large old-growth tree well
