stageid,site,treatment,burn,plotnum,spp,sizeclass,count,seedlingradius,saplingradius,notes
1,bob,ls,b,12,to,<BH,53,5.64,11.28,
1,bob,ls,b,12,to,<2.5,54,5.64,11.28,
1,bob,ls,b,12,to,<5,30,5.64,11.28,
1,bob,ls,b,12,to,<6,4,5.64,11.28,
1,bob,ls,b,12,to,<7,1,5.64,11.28,
1,bob,ls,b,12,to,<8,1,5.64,11.28,
1,bob,ls,b,12,to,<9,1,5.64,11.28,
1,bob,ls,b,12,to,<10,2,5.64,11.28,
1,bob,ls,b,12,df,<BH,2,5.64,11.28,
1,bob,ls,b,12,df,<2.5,14,5.64,11.28,
1,bob,ls,b,12,df,<5,1,5.64,11.28,
1,bob,ls,b,12,df,<6,0,5.64,11.28,
1,bob,ls,b,12,df,<7,0,5.64,11.28,
1,bob,ls,b,12,df,<8,0,5.64,11.28,
1,bob,ls,b,12,df,<9,0,5.64,11.28,
1,bob,ls,b,12,df,<10,0,5.64,11.28,
1,bob,ls,b,12,gf,<BH,0,5.64,11.28,
1,bob,ls,b,12,gf,<2.5,1,5.64,11.28,
1,bob,ls,b,12,gf,<5,0,5.64,11.28,
1,bob,ls,b,12,gf,<6,0,5.64,11.28,
1,bob,ls,b,12,gf,<7,0,5.64,11.28,
1,bob,ls,b,12,gf,<8,0,5.64,11.28,
1,bob,ls,b,12,gf,<9,0,5.64,11.28,
1,bob,ls,b,12,gf,<10,0,5.64,11.28,
1,bob,ls,b,9,df,<BH,24,5.64,11.28,
1,bob,ls,b,9,df,<2.5,9,5.64,11.28,
1,bob,ls,b,9,df,<5,4,5.64,11.28,
1,bob,ls,b,9,df,<6,1,5.64,11.28,
1,bob,ls,b,9,df,<7,0,5.64,11.28,
1,bob,ls,b,9,df,<8,0,5.64,11.28,
1,bob,ls,b,9,df,<9,0,5.64,11.28,
1,bob,ls,b,9,df,<10,0,5.64,11.28,
1,bob,ls,b,9,to,<BH,6,5.64,11.28,
1,bob,ls,b,9,to,<2.5,20,5.64,11.28,
