stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,metermark,depth,pctlitter,fbd,livewoody,deadwoody,woodyheight,liveherb,deadherb,herbheight,notes
1,bob,ls,b,12,1,0,3,5,11.0,30.0,,70.0,20.0,2.0,0.0,0.0,,under huckleberry at 5m
1,bob,ls,b,12,1,0,3,10,7.0,20.0,,20.0,0.5,1.4,3.0,0.5,0.1,under huckleberry at 5m
1,bob,ls,b,12,2,120,21,5,5.0,20.0,,0.5,0.0,0.1,3.0,0.0,0.2,
1,bob,ls,b,12,2,120,21,10,5.0,30.0,,30.0,3.0,1.4,0.5,0.0,0.1,
1,bob,ls,b,12,3,240,33,5,2.0,50.0,,5.0,0.5,1.8,0.5,0.0,0.1,
1,bob,ls,b,12,3,240,33,10,6.0,30.0,,30.0,3.0,1.2,0.5,0.5,0.1,
1,bob,ls,b,3,1,0,54,5,4.0,30.0,,20.0,0.0,0.8,40.0,10.0,0.5,
1,bob,ls,b,3,1,0,54,10,2.0,50.0,,40.0,3.0,0.6,10.0,10.0,0.4,
1,bob,ls,b,3,2,120,19,5,6.0,70.0,,30.0,0.5,1.0,10.0,0.5,0.4,
1,bob,ls,b,3,2,120,19,10,6.0,40.0,,20.0,0.5,1.2,0.5,0.0,0.1,
1,bob,ls,b,3,3,240,26,5,4.0,40.0,,40.0,3.0,0.8,20.0,10.0,0.6,
1,bob,ls,b,3,3,240,26,10,6.0,30.0,,30.0,3.0,0.8,20.0,3.0,0.4,
1,bob,ls,b,5,1,0,18,5,1.0,100.0,,40.0,3.0,1.3,20.0,10.0,0.5,huckleberry at 10m pieces of broken rw top are on transect at 10m
1,bob,ls,b,5,1,0,18,10,3.0,90.0,,60.0,3.0,1.4,0.0,0.0,,huckleberry at 10m pieces of broken rw top are on transect at 10m
1,bob,ls,b,5,2,120,18,5,2.0,90.0,,60.0,10.0,1.4,5.0,0.5,0.4,
1,bob,ls,b,5,2,120,18,10,2.0,80.0,,10.0,0.5,1.2,0.5,0.0,0.1,
1,bob,ls,b,5,3,240,18,5,2.0,90.0,,60.0,10.0,1.4,5.0,0.5,0.4,
1,bob,ls,b,5,3,240,18,10,2.0,80.0,,10.0,0.5,1.2,0.5,0.0,0.1,
1,bob,ls,b,6,1,0,4,5,1.0,90.0,,5.0,0.0,0.7,3.0,0.0,0.2,
1,bob,ls,b,6,1,0,4,10,7.0,30.0,,5.0,0.5,1.5,0.5,0.0,0.2,
1,bob,ls,b,6,2,120,18,5,8.0,10.0,,0.5,0.0,0.1,0.5,0.0,0.1,in skid
1,bob,ls,b,6,2,120,18,10,1.0,100.0,,0.0,0.0,,20.0,0.5,0.2,in skid
1,bob,ls,b,6,3,240,17,5,4.0,10.0,,3.0,0.5,0.5,30.0,0.5,0.1,5-10m in skid
1,bob,ls,b,6,3,240,17,10,6.0,30.0,,3.0,0.0,1.2,5.0,0.0,0.3,5-10m in skid
1,bob,ls,b,9,1,0,15,5,7.0,20.0,,3.0,0.0,2.0,30.0,3.0,0.3,middle in skid
1,bob,ls,b,9,1,0,15,10,1.0,90.0,,50.0,0.5,1.9,0.5,0.0,0.3,middle in skid
1,bob,ls,b,9,2,120,4,5,1.0,90.0,,0.5,0.0,0.3,30.0,3.0,0.4,"in skid, all iris"
1,bob,ls,b,9,2,120,4,10,4.0,30.0,,3.0,0.0,0.3,10.0,0.5,0.3,"in skid, all iris"
1,bob,ls,b,9,3,240,23,5,3.0,60.0,,5.0,0.0,1.4,20.0,3.0,0.3,"end and middle in skid, end in iris"
1,bob,ls,b,9,3,240,23,10,2.0,50.0,,0.5,0.0,0.3,31.0,3.0,0.4,"end and middle in skid, end in iris"
1,bob,ls,nb,1,1,0,17,5,5.0,40.0,,20.0,0.0,0.8,20.0,3.0,0.5,end in skid
1,bob,ls,nb,1,1,0,17,10,1.0,100.0,,5.0,0.5,0.6,10.0,0.5,0.2,end in skid
1,bob,ls,nb,1,2,120,17,5,1.0,50.0,,3.0,0.0,0.8,10.0,0.0,0.3,end in skid
1,bob,ls,nb,1,2,120,17,10,2.0,30.0,,10.0,0.5,0.4,40.0,3.0,0.4,end in skid
1,bob,ls,nb,1,3,240,10,5,1.0,100.0,,20.0,0.5,1.0,0.5,0.0,0.1,
1,bob,ls,nb,1,3,240,10,10,7.0,70.0,,20.0,0.0,0.8,10.0,0.5,0.3,
1,bob,ls,nb,12,1,353,38,5,4.0,80.0,,20.0,3.0,1.3,20.0,0.5,0.4,
1,bob,ls,nb,12,1,353,38,10,2.0,30.0,,40.0,10.0,1.0,0.5,0.0,0.1,
1,bob,ls,nb,12,2,120,19,5,1.0,100.0,,5.0,0.0,0.7,0.5,0.0,0.3,through skid
1,bob,ls,nb,12,2,120,19,10,1.0,100.0,,5.0,0.0,0.7,3.0,0.0,0.1,through skid
1,bob,ls,nb,12,3,240,26,5,1.0,100.0,,10.0,0.0,0.7,0.5,0.5,0.1,edge of skid
1,bob,ls,nb,12,3,240,26,10,1.0,100.0,,3.0,0.0,0.8,10.0,0.5,0.3,edge of skid
1,bob,ls,nb,3,1,0,24,5,9.0,20.0,,0.5,0.0,0.3,30.0,10.0,0.4,
1,bob,ls,nb,3,1,0,24,10,6.5,30.0,,10.0,0.0,1.1,3.0,0.0,0.1,
1,bob,ls,nb,3,2,120,43,5,4.0,70.0,,0.5,0.0,1.5,10.0,0.0,0.1,in skid
1,bob,ls,nb,3,2,120,43,10,10.0,20.0,,5.0,1.0,0.7,20.0,3.0,0.3,in skid
1,bob,ls,nb,3,3,240,29,5,11.0,70.0,,0.5,0.0,0.1,30.0,10.0,0.6,
1,bob,ls,nb,3,3,240,29,10,4.0,90.0,,0.0,0.0,,30.0,5.0,0.4,
1,bob,ls,nb,6,1,0,36,5,11.0,50.0,,70.0,3.0,2.0,10.0,0.5,0.5,
1,bob,ls,nb,6,1,0,36,10,12.0,40.0,,30.0,0.5,1.5,10.0,3.0,0.2,
1,bob,ls,nb,6,2,120,13,5,10.0,30.0,,40.0,3.0,1.9,10.0,3.0,0.5,begining crosses skid
1,bob,ls,nb,6,2,120,13,10,1.0,100.0,,10.0,0.0,1.7,40.0,10.0,0.6,begining crosses skid
1,bob,ls,nb,6,3,240,16,5,3.0,80.0,,3.0,0.5,0.6,20.0,0.0,0.1,in skid
1,bob,ls,nb,6,3,240,16,10,1.0,70.0,,5.0,0.5,1.7,20.0,3.0,0.3,in skid
1,bob,ls,nb,9,1,0,21,10,9.0,35.0,,80.0,10.0,1.9,3.0,0.0,0.1,huckleberry at 10m
1,bob,ls,nb,9,1,0,21,5,8.5,50.0,,10.0,3.0,1.0,3.0,0.0,0.1,huckleberry at 10m
1,bob,ls,nb,9,2,120,4,10,9.0,15.0,,30.0,10.0,2.0,0.5,0.0,0.1,
1,bob,ls,nb,9,2,120,4,5,8.0,10.0,,40.0,3.0,1.8,3.0,0.0,0.1,
1,bob,ls,nb,9,3,240,18,10,1.5,50.0,,5.0,0.5,1.1,10.0,3.0,0.5,
1,bob,ls,nb,9,3,240,18,5,8.0,10.0,,0.0,0.0,,5.0,0.5,0.3,
1,bob,m,b,1,1,0,16,5,2.0,30.0,,20.0,0.5,0.5,3.0,0.5,0.1,
1,bob,m,b,1,1,0,16,10,4.0,20.0,,30.0,0.0,1.0,10.0,0.5,0.2,
1,bob,m,b,1,2,120,12,5,4.0,40.0,,20.0,0.5,0.8,10.0,10.0,0.4,
1,bob,m,b,1,2,120,12,10,5.0,60.0,,10.0,0.5,1.2,40.0,20.0,0.4,
1,bob,m,b,1,3,240,2,5,3.0,50.0,,10.0,0.0,1.3,3.0,3.0,0.2,redwood foliage (branchlets) 2mm cutoff
1,bob,m,b,1,3,240,2,10,8.0,50.0,,30.0,0.5,1.5,3.0,0.5,0.2,redwood foliage (branchlets) 2mm cutoff
1,bob,m,b,11,1,0,13,5,9.0,90.0,,0.5,0.0,0.6,0.0,0.0,,
1,bob,m,b,11,1,0,13,10,5.0,60.0,,3.0,0.0,0.4,0.0,0.0,,
1,bob,m,b,11,2,120,21,5,2.0,90.0,,20.0,0.0,1.5,5.0,0.0,0.1,large redwood litter particles
1,bob,m,b,11,2,120,21,10,14.0,60.0,,0.0,0.5,1.8,0.0,0.0,,large redwood litter particles
1,bob,m,b,11,3,240,8,5,3.0,30.0,,20.0,0.0,1.3,0.0,0.0,,
1,bob,m,b,11,3,240,8,10,4.0,20.0,,30.0,3.0,0.7,10.0,0.5,0.3,
1,bob,m,b,4,1,0,43,5,12.0,50.0,,10.0,3.0,1.2,0.0,0.0,,large old-growth tree well
1,bob,m,b,4,1,0,43,10,12.0,20.0,,0.0,3.0,1.4,3.0,0.0,0.1,large old-growth tree well
1,bob,m,b,4,2,120,2,5,3.0,50.0,,0.5,0.0,0.4,3.0,0.5,0.2,along skid
1,bob,m,b,4,2,120,2,10,6.0,40.0,,3.0,0.0,0.4,20.0,3.0,0.3,along skid
1,bob,m,b,4,3,240,3,5,2.0,60.0,,0.5,0.0,0.6,3.0,10.0,0.3,in skid
1,bob,m,b,4,3,240,3,10,1.0,100.0,,3.0,0.0,0.7,3.0,5.0,0.3,in skid
