stageid,site,treatment,burn,plotnum,transectnum,azimuth,slope,notes
1,bob,ls,b,12,1,0,3,under huckleberry at 5m
1,bob,ls,b,12,2,120,21,
1,bob,ls,b,12,3,240,33,
1,bob,ls,b,3,1,0,54,
1,bob,ls,b,3,2,120,19,
1,bob,ls,b,3,3,240,26,
1,bob,ls,b,5,1,0,18,huckleberry at 10m pieces of broken rw top are on transect at 10m
1,bob,ls,b,5,2,120,18,
1,bob,ls,b,5,3,240,18,
1,bob,ls,b,6,1,0,4,
1,bob,ls,b,6,2,120,18,in skid
1,bob,ls,b,6,3,240,17,5-10m in skid
1,bob,ls,b,9,1,0,15,middle in skid
1,bob,ls,b,9,2,120,4,"in skid, all iris"
1,bob,ls,b,9,3,240,23,"end and middle in skid, end in iris"
1,bob,ls,nb,1,1,0,17,end in skid
1,bob,ls,nb,1,2,120,17,end in skid
1,bob,ls,nb,1,3,240,10,
1,bob,ls,nb,12,1,353,38,
1,bob,ls,nb,12,2,120,19,through skid
1,bob,ls,nb,12,3,240,26,edge of skid
1,bob,ls,nb,3,1,0,24,
1,bob,ls,nb,3,2,120,43,in skid
1,bob,ls,nb,3,3,240,29,
1,bob,ls,nb,6,1,0,36,
1,bob,ls,nb,6,2,120,13,begining crosses skid
1,bob,ls,nb,6,3,240,16,in skid
1,bob,ls,nb,9,1,0,21,huckleberry at 10m
1,bob,ls,nb,9,2,120,4,
1,bob,ls,nb,9,3,240,18,
1,bob,m,b,1,1,0,16,
1,bob,m,b,1,2,120,12,
1,bob,m,b,1,3,240,2,redwood foliage (branchlets) 2mm cutoff
1,bob,m,b,11,1,0,13,
1,bob,m,b,11,2,120,21,large redwood litter particles
1,bob,m,b,11,3,240,8,
1,bob,m,b,4,1,0,43,large old-growth tree well
1,bob,m,b,4,2,120,2,along skid
1,bob,m,b,4,3,240,3,in skid
1,bob,m,b,6,1,0,37,lots of huckleberry in plot
1,bob,m,b,6,2,120,2,lots of huckleberry in plot
1,bob,m,b,6,3,248,31,lots of huckleberry in plot
1,bob,m,b,7,1,0,42,plot center in draw
1,bob,m,b,7,2,120,21,plot center in draw
1,bob,m,b,7,3,240,18,plot center in draw
1,bob,m,nb,1,1,0,25,in skid
1,bob,m,nb,1,2,120,26,
1,bob,m,nb,1,3,240,11,
1,bob,m,nb,10,1,0,9,in skid
1,bob,m,nb,10,2,120,19,partial skid
1,bob,m,nb,10,3,240,24,through large downed tanoak with leaves
