stageid,site,treatment,burn,plotnum,treeid,clumpid,location,defecttype,notes
1,bob,ls,b,12,9767,,bot,cavity,no leader
1,bob,ls,b,12,9767,,mid,cavity,no leader
1,bob,ls,b,12,9767,,mid,break,no leader
1,bob,ls,b,12,9768,1,bot,cavity,
1,bob,ls,b,12,9769,2,bot,scar,
1,bob,ls,b,12,9771,3,bot,scar,
1,bob,ls,b,12,9772,,bot,conk,
1,bob,ls,b,12,9772,,mid,conk,
1,bob,ls,b,12,9772,,top,conk,
1,bob,ls,b,12,9773,,bot,operational,
1,bob,ls,b,12,9774,4,bot,break,new leader
1,bob,ls,b,12,9775,4,mid,break,new leader
1,bob,ls,b,12,9775,4,bot,scar,new leader
1,bob,ls,b,12,9776,5,bot,scar,
1,bob,ls,b,12,9777,6,bot,scar,
1,bob,ls,b,12,9778,6,top,scar,
1,bob,ls,b,12,9778,6,bot,scar,
1,bob,ls,b,12,9780,7,bot,scar,
1,bob,ls,b,12,9781,8,bot,scar,
1,bob,ls,b,3,780,2,bot,mistletoe,
1,bob,ls,b,3,785,4,bot,scar,
1,bob,ls,b,3,787,,bot,cav,
1,bob,ls,b,3,794,8,bot,scar,
1,bob,ls,b,6,9302,,bot,scar,
1,bob,ls,b,6,9303,1,bot,scar,
1,bob,ls,b,6,9306,,bot,scar,
1,bob,ls,b,6,9308,2,bot,cavity,
1,bob,ls,b,6,9310,3,bot,cavity,
1,bob,ls,b,6,9311,,bot,canker,
1,bob,ls,b,6,9318,5,bot,scar,
1,bob,ls,b,6,9319,,bot,scar,
1,bob,ls,b,9,9795,5,top,break,new leader
1,bob,ls,b,9,9796,5,bot,cavity,bottom third split in half
1,bob,ls,nb,1,702,1,bot,scar,
1,bob,ls,nb,1,705,2,bot,cav,
1,bob,ls,nb,1,706,3,bot,scar,
1,bob,ls,nb,1,709,5,bot,scar,
1,bob,ls,nb,1,715,7,top,break,new leader
1,bob,ls,nb,1,716,,mid,scar,
1,bob,ls,nb,1,716,,bot,scar,
1,bob,ls,nb,12,825,2,bot,scar,
1,bob,ls,nb,12,826,,bot,large dead sprout,lean downslope 50
1,bob,ls,nb,12,830,3,mid,healed scar,merge bilt
1,bob,ls,nb,12,830,3,bot,healed scar,merge bilt
1,bob,ls,nb,12,839,6,mid,scar,
1,bob,ls,nb,3,571,1,bottom,scar,
1,bob,ls,nb,3,572,1,bot,scar,exposed wood 40%
1,bob,ls,nb,3,573,2,bottom,scar,
1,bob,ls,nb,3,576,3,bot,scar,
1,bob,ls,nb,3,580,,top,dead top,mostly dead
1,bob,ls,nb,3,580,,mid,dead top,mostly dead
1,bob,ls,nb,6,9751,2,bot,scar,healed
1,bob,ls,nb,6,9754,3,bot,large dead sprout,
1,bob,ls,nb,6,9757,5,mid,scar,
1,bob,ls,nb,6,9757,5,bot,scar,
1,bob,ls,nb,6,9766,6,bot,break,"snapped, no leader"
1,bob,ls,nb,6,9766,6,bot,scar,"snapped, no leader"
1,hare,np,b,10,764,,bot,on dead stump,
