stageid,site,treatment,burn,plotnum,treeid,clumpid,spp,dbh,ht,cbh,notes
1,bob,ls,b,12,9767,,to,27.2,,3.5,no leader
1,bob,ls,b,12,9768,1,to,32.3,,4.7,
1,bob,ls,b,12,9769,2,to,21.6,,3.8,
1,bob,ls,b,12,9770,2,to,21.8,,4.2,
1,bob,ls,b,12,9771,3,to,22.3,,2.1,
1,bob,ls,b,12,9772,,df,93.0,,9.3,
1,bob,ls,b,12,9773,,rw,62.5,,10.3,
1,bob,ls,b,12,9774,4,to,26.5,,2.5,new leader
1,bob,ls,b,12,9775,4,to,20.9,,1.0,new leader
1,bob,ls,b,12,9776,5,to,19.6,,4.6,
1,bob,ls,b,12,9777,6,to,11.7,,2.4,
1,bob,ls,b,12,9778,6,to,18.3,,4.9,
1,bob,ls,b,12,9779,7,to,10.5,,1.7,
1,bob,ls,b,12,9780,7,to,10.3,,2.5,
1,bob,ls,b,12,9781,8,to,15.9,14.4,5.7,
1,bob,ls,b,12,9782,9,to,15.2,15.1,5.8,
1,bob,ls,b,12,9783,9,to,13.3,,6.0,
1,bob,ls,b,12,9784,9,to,15.6,,4.2,
1,bob,ls,b,12,9787,,to,25.1,,4.4,
1,bob,ls,b,12,9785,10,to,12.2,10.8,4.6,
1,bob,ls,b,12,9786,10,to,12.6,,3.1,
1,bob,ls,b,3,777,1,rw,51.6,,5.2,
1,bob,ls,b,3,778,1,rw,10.1,,1.2,
1,bob,ls,b,3,779,1,rw,36.1,,5.0,
1,bob,ls,b,3,780,2,to,14.8,,1.5,
1,bob,ls,b,3,781,2,to,15.9,,0.0,
1,bob,ls,b,3,782,,rw,52.1,,12.3,
1,bob,ls,b,3,783,,rw,58.7,,15.8,
1,bob,ls,b,3,784,3,to,12.1,,1.4,
1,bob,ls,b,3,785,4,rw,36.1,,5.5,
1,bob,ls,b,3,786,5,rw,21.0,,1.1,
1,bob,ls,b,3,787,,to,39.8,,5.7,
1,bob,ls,b,3,788,6,rw,41.9,,12.5,
1,bob,ls,b,3,789,6,rw,21.7,,6.5,
1,bob,ls,b,3,790,,df,20.3,18.7,9.1,
1,bob,ls,b,3,791,7,rw,36.0,,10.0,merge bilt
1,bob,ls,b,3,792,7,rw,43.0,,10.0,merge bilt
