site,burn,treatment,plot,plot_order,tag,spp,dbh,ht,cbh,cr,clump_tags,defect_top,defect_mid,defect_low,clump_sap,notes
hare,nb,m,5,1,3711,rw,58.8,,19.3,,,,,,,
hare,nb,m,6,2,3712,rw,24.3,,8.5,,,,,,,
hare,nb,m,7,3,3713,rw,26.1,,12.4,,,,,,3,
hare,nb,m,8,4,3714,rw,14.2,,8,,,,,,,lean
hare,nb,m,9,5,3715,rw,28.5,,9,,,,,scar,,
hare,nb,m,10,6,3716,rw,29.9,,8.4,,,,,,,
hare,nb,m,11,7,3717,rw,18.4,,10,,,,,,,
hare,nb,m,12,8,3718,to,24.5,,5.2,,,,,,"5,1",lean
hare,nb,m,13,9,3719,rw,22.8,,11,,,,,,,
hare,nb,m,14,10,3720,rw,19.8,,13.8,,,,,,3,
hare,nb,m,15,11,3721,rw,11.5,,5.4,,,,,,,lean
hare,nb,m,16,12,3722,rw,10.3,,5.4,,,,,,,
hare,nb,m,17,13,3723,rw,19.1,,4.9,,,,,skid,,
hare,nb,m,18,14,3724,rw,71.7,,13.9,,,,,,,
hare,nb,m,19,15,3726,to,10.4,,4.2,,,,,cavity,,
hare,nb,m,20,16,3727,to,12.6,,4,,3728,,,,"1,1,1,1,1,1,1,1,1,1,1,1",
hare,nb,m,21,17,3728,to,25.3,,4.3,,3727,,,scar,"1,1,1,1,1,1,1,1,1,1,1,1",
hare,nb,m,22,18,3725,to,12.1,,3,,,,,,1,
hare,nb,m,23,19,3701,to,31.8,,2.5,,,,,,,
hare,nb,m,24,20,3702,to,27.3,,7,,3703,,,,"6,9",
hare,nb,m,25,21,3703,to,22.7,,7,,3702,,,,"6,9",
hare,nb,m,26,22,3704,to,15.3,,3.7,,,,,,"2,1,1",
hare,nb,m,27,23,3706,rw,21.3,,3,,,,,,,
hare,nb,m,28,24,3707,rw,16.8,,4,,,,,,,
hare,nb,m,29,25,3708,to,26.6,,1,,,lean ,lean,cav,"7,1",extreme lean
hare,nb,m,30,26,3710,rw,77.7,,22,,,,,,,
