site,burn,treatment,plot,plot_order,tag,spp,dbh,ht,cbh,cr,clump_tags,defect_top,defect_mid,defect_low,clump_sap,notes
hare,nb,np,8,1,871,TO,29.5,,10.7,,"872,873,874",,,,"2,2,7",
hare,nb,np,8,2,872,TO,14.9,,10.2,,"871,873,874",,,,"2,2,7",
hare,nb,np,8,3,873,TO,14.9,,10.5,,"871,872,874",,,,"2,2,7",
hare,nb,np,8,4,874,TO,10.5,,10.2,,"871,872,873",,,,"2,2,7",
hare,nb,np,8,5,875,RW,13.9,,5.9,,"876,877,878",,,,,old clump stump large
hare,nb,np,8,6,876,RW,29.1,,10.5,,"875,877,878",,,,,old clump stump large
hare,nb,np,8,7,877,RW,17.3,,6.4,,"875,876,878",,,,,old clump stump large
hare,nb,np,8,8,878,RW,28.7,,5.3,,"875,876,877",,,,,old clump stump large
hare,nb,np,8,9,879,TO,32.8,,7.1,,880,,,,9,
hare,nb,np,8,10,880,TO,23.2,,7.1,,879,,,,9,
hare,nb,np,8,11,881,TO,14,,3.3,,,,,,,
hare,nb,np,8,12,882,to,11.7,,4.5,,,,,,,
hare,nb,np,8,13,883,df,17.3,,13.8,,,,,,,
hare,nb,np,8,14,884,to,22.7,,9.2,,,,,,,
hare,nb,np,8,15,885,to,18.1,,4.6,,889,,,,,
hare,nb,np,8,16,889,to,15.2,,4.6,,885,,,,,
hare,nb,np,8,17,890,to,28.6,,8,,,,,,7,
hare,nb,np,8,18,891,rw,45.7,,13,,892,,,,36,large clump tree off plot
hare,nb,np,8,19,892,rw,25.3,,13.7,,891,,,,36,large clump tree off plot
hare,nb,np,8,20,887,df,13.2,,12.6,,,,,,,
hare,nb,np,8,21,893,gf,12.4,,12.6,,,,,,,
hare,nb,np,8,22,888,df,12.4,,12.8,,,,,,,
hare,nb,np,8,23,886,gf,11.9,,8.6,,,,,,,
hare,nb,np,8,24,894,to,18.3,,9.4,,895,,,,,
hare,nb,np,8,25,895,to,12.6,,12.7,,894,,,,,
hare,nb,np,8,26,896,df,13,,11.9,,,,,,,
hare,nb,np,8,27,897,gf,11.6,,12.8,,,,,,,
hare,nb,np,8,28,898,to,17.2,,6.6,,,,,,,
hare,nb,np,8,29,899,to,14.9,,6.5,,,,,,"9,8",
hare,nb,np,8,30,900,df,17.4,,10.8,,,,,,,
hare,nb,np,8,31,3846,to,18.4,,10.3,,3859,,,,"7,8",
hare,nb,np,8,32,3859,to,10.3,,10.3,,3846,,,,"7,8",
hare,nb,np,8,33,3847,to,19.2,,7,,,,,,,
hare,nb,np,8,34,3848,to,19.5,,8.1,,,,,,,
hare,nb,np,8,35,3849,rw,21.3,,11.6,,,,,,,
hare,nb,np,8,36,3850,to,15.8,,8.8,,3851,,,,"3,3",
hare,nb,np,8,37,3851,to,18.3,,10.2,,3850,,,,"3,3",
hare,nb,np,8,38,3852,to,23.4,,8.3,,"3853,3854",,,,9,
hare,nb,np,8,39,3853,to,16.6,,11.8,,"3852,3854",,,,9,
hare,nb,np,8,40,3854,to,13.2,,9.5,,"3852,3853",,,,9,
hare,nb,np,8,41,3855,to,14.9,,8.9,,,,,,"3,2,2,7",
hare,nb,np,8,42,3856,to,14.8,,5.7,,3857,,,,,
hare,nb,np,8,43,3857,to,14.5,,7.6,,3856,,,,,
hare,nb,np,8,44,3858,rw,55.8,,12,,,,,,,
