site,burn,treatment,plot,plot_order,tag,spp,dbh,ht,cbh,cr,clump_tags,defect_top,defect_mid,defect_low,clump_sap,notes
hare,nb,m,9,1,3801,rw,74.3,,14,,3803,,,,,"trees out of order, see 3833"
hare,nb,m,9,2,3803,rw,38.4,,14,,3801,,,,,
hare,nb,m,9,3,3802,rw,11.7,,3.5,,,,,,,
hare,nb,m,9,4,3805,to,11.3,,3.2,,3813,,,,,
hare,nb,m,9,5,3813,to,10.5,,3.7,,,,,,,
hare,nb,m,9,6,3806,to,10.2,,3.4,,"3807,3824",,,,"3,7,2,4","""11,2,9,2,6,10"" out of plot"
hare,nb,m,9,7,3824,to,11.4,,5,,"3806,3807",,,,"3,7,2,5","""11,2,9,2,6,10"" out of plot"
hare,nb,m,9,8,3807,to,16.2,,5,,"3806,3824",,,,"3,7,2,6","""11,2,9,2,6,10"" out of plot"
hare,nb,m,9,9,3808,to,39.8,,8.6,,,,scar,scar,,extensive damage
hare,nb,m,9,10,3809,to,12,,4.3,,,,,,,
hare,nb,m,9,11,3810,to,17.2,,2.4,,,,,,,
hare,nb,m,9,12,3811,to,31,,7.7,,3812,,,,3,
hare,nb,m,9,13,3812,to,24.3,,4.8,,3811,,,,3,
hare,nb,m,9,14,3814,df,11.5,,10.5,,,,,,,
hare,nb,m,9,15,3815,df,10.4,,11.2,,,,,,,
hare,nb,m,9,16,3816,rw,71.6,,18.9,,3817,,,,3,
hare,nb,m,9,17,3817,rw,15.9,,4.8,,3816,,,,,edge of skid
hare,nb,m,9,18,3818,rw,26.4,,3.4,,,,,,,edge of skid
hare,nb,m,9,19,3819,rw,10.9,,4,,"3822,3821",,,,"2,2,3,3",
hare,nb,m,9,20,3821,rw,25.4,,11.5,,"3819,3822",,,,"2,2,3,3",
hare,nb,m,9,21,3822,rw,19.4,,5,,"3819,3821",,,,"2,2,3,3",
hare,nb,m,9,22,3820,rw,24.1,,8,,,,,,"9,2",
hare,nb,m,9,23,3825,to,12.3,,3.6,,,,,,9,
hare,nb,m,9,24,3826,rw,36.9,,12.4,,,,,,,
hare,nb,m,9,25,3827,rw,15.6,,6.1,,3828,,,,,
hare,nb,m,9,26,3828,rw,65.2,,27.3,,3827,,,,,
hare,nb,m,9,27,3829,rw,19.5,,5.4,,,,,,,
hare,nb,m,9,28,3830,rw,10.5,,5,,3831,,,,,
hare,nb,m,9,29,3831,rw,34.1,,6.5,,3830,,,,,
hare,nb,m,9,30,3832,rw,36.3,,14.5,,,,,,,
hare,nb,m,9,31,3833,rw,12.2,,5.6,,,,,,,"out of order, back at ""east"""
hare,nb,m,9,32,3834,rw,33.1,,8.4,,,,,,,
hare,nb,m,9,33,3835,rw,12.9,,7.1,,,,,,,
hare,nb,m,9,34,3836,to,16.2,,4.3,,,,,scar,,
hare,nb,m,9,35,3837,to,18.8,,3.7,,"3838,3839,3840",,,,6,
hare,nb,m,9,36,3838,to,12,,4.5,,"3837,3839,3840",,,,6,
hare,nb,m,9,37,3839,to,20.7,,4.8,,"3837,3838,3840",,,,6,
hare,nb,m,9,38,3840,to,17.2,,3.5,,"3837,3838,3839",,,,6,
hare,nb,m,9,39,3841,rw,57.5,,17.5,,,,,,,
hare,nb,m,9,40,3842,rw,15,,4.9,,,,,,,
hare,nb,m,9,41,3843,rw,39.1,,16,,,,,,,
hare,nb,m,9,42,3844,to,17.3,,4,,,,,,,
