site,burn,treatment,plot,plot_order,tag,spp,dbh,ht,cbh,cr,clump_tags,defect_top,defect_mid,defect_low,clump_sap,notes
hare,nb,np,6,1,3860,gf,33.8,,4.1,,,,,,,
hare,nb,np,6,2,3862,rw,107.2,,23.7,,,,,,,
hare,nb,np,6,3,3863,rw,44.4,,9.9,,3864,,,,"2,7,4,8",
hare,nb,np,6,4,3864,rw,22.9,,8.1,,3863,,,,"2,7,4,8",
hare,nb,np,6,5,3865,rw,12.2,,5.5,,,,,,,
hare,nb,np,6,6,3866,gf,14.4,,7.6,,,,,,,
hare,nb,np,6,7,3867,gf,18.7,,10.6,,,,,,,
hare,nb,np,6,8,3868,to,17.9,,3.1,,,,,scar,,
hare,nb,np,6,9,3871,gf,11.6,,6.2,,,,,,,
hare,nb,np,6,10,3869,to,28.5,,8.1,,3872,,,,,
hare,nb,np,6,11,3872,to,20.9,,5.6,,3869,,,,,
hare,nb,np,6,12,3870,rw,21.5,,10.3,,,,,,,
hare,nb,np,6,13,3873,to,17.4,,4.6,,,,,,,
hare,nb,np,6,14,3874,df,12.8,,8.9,,,,,,,
hare,nb,np,6,15,3875,gf,23.3,,6.2,,,,,,,
hare,nb,np,6,16,3876,to,16,,4,,,,,,,
hare,nb,np,6,17,3877,to,16.7,,4.3,,,,,,"2,6",
hare,nb,np,6,18,3878,to,16.7,,2.3,,,,,,,
hare,nb,np,6,19,3879,gf,19.1,,9.6,,,,,,,
hare,nb,np,6,20,3880,to,15.2,,2,,,,,,,extreme lean
hare,nb,np,6,21,3881,gf,67.2,,9.4,,,,,,,
